cluster,id,number,title,artist,album,year,language
1842,3554,10,memories of you - clifford brown & max roach,clifford brown & max roach,,,english
418,783,026,mi lu ( cai yun guo wu yu original sound track 1 ),liang bang yan,cai tyun guo wu yu original sound track 1,2006,
4481,8658,8,008 - time ' s cold grasp,glass skeleton death march,the death march begins ( 2013 ),null,eng .
3983,7679,15,015 - hurt,christina aguilera,super schmuse hits ( unknown ),null,unknown
3647,7009,1,harold rome - mene mene tekel,,a touch of rome,,english
2284,4399,1,the dark room,luna rossa,sleeping pills & luullabies,,english
1706,3285,9,jungle beat,george bruns,the jungle book,1990,english
8961,17391,2,002 - breaking glass,uncut,modern currencies ( 2006 ),null,eng .
1456,2785,22,messa da requiem : ingemisco tamquam reus,giuseppe verdi,verdi - domingo : the tenor arias,2001,italian
9672,18743,10,010 - mary o ' neill or carolan ' s favorite jig,carol thompson,the peacock ' s feather : a celtic quest ( unknown ),null,eng .
6923,13370,15,015 - action / chase : future city,donn,cinematic trailers 5 : action / drama ( unknown ),null,eng .
564,1064,1,sittin ' up in my room ( doug rasheed remix ),brandy,sittin ' up in my room,1995,english
525,991,1,true love that ' s a wonder,sandy coast,true love that ' s a wonder,' 98,english
1558,2994,17,017 - lady,d ' angelo,chilled r & b : the platinum edition ( 2013 ),null,eng .
3578,6880,009,all the x ' s have wings ( the dirt of luck ),helium,the dirt of luck,1995,
3780,7264,004,steamroller blues ( southern nights ),elvis presley,southern nights,2006,
8292,16102,015,carnival in rio ( punk was ) ( learning english : lesson 1 ),toten hosen,learning english : lesson 1,1991,
9859,19105,001,just right ( odd place to be ),holley maher,odd place to be,2011,
468,879,5,porn - alchemy,leah andreone,,' 98,english
9204,17853,17,konamiju xing bo ju le bu - xie tu rareshian henototsukata,null,e mo cheng dorakiyura best music collections box,10,japanese
3247,6233,8,008 - funland at the beach,dead kennedys,jellos revenge i & ii ( 1995 ),null,eng .
8947,17364,011,ton doux sourire ( quintette du hot club de france 1934 - 1935 ),django reinhardt & stephane grappelli,quintette du hot club de france 1934 - 1935,1989,
6878,13273,1,hypnotic energy,liquid soul,"goa year 2011 , volume 1",2011,english
3604,6933,022,whatever way the wind blows ( top hits u . s . a . t176 ),kelly willis,top hits u . s . a . t176,1993,
7360,14220,4,004 - hold you ( m . o . r . p . h . mix ),atb,hold you ( 2001 ),null,eng .
9648,18692,8,helicopter,deerhunter,halcyon digest,2010,englliish
4540,8772,16,016 - s & m airlines,nofx,"1991 - 06 - 09 : parkhof , alkmaar , netherlands ( unknown )",null,eng .
113,220,13,patio smasher,dirty south,"10q "" dubplate sessions",,englzish
2608,5022,7,antonius antonius rex prophecy,antonius rex,per viam,09,english
6932,13386,2,002 - fussin ' and fightin ' blues,little junior parker & his blue flames,feelin ' good / fussin ' and fightin ' blues ( 1953 ),null,eng .
5581,10728,15,015 - un jardinero de amor,compay segundo,musique traditionnelle cubaine ( 1997 ),null,spa .
4536,8765,2,jack warner - great romance,,cinematic improvisations - greatest love - sonic,,einglish
2537,4888,7,nashville # 2 - tonk,audrey auld,,' 13,english
3514,6752,6,until i kissed you,stephen duffy & the lilac time,runout groove,2007,english
5537,10636,1,001 - kometa,jaromir nohavica,doma ( 2006 ),null,cze .
1702,3278,8,99anger - liar,,who coms first ?,,english
1550,2976,10,suki ewers - time after time,,a mind expansion compilation 2,08,english
6238,11980,2,ashes of sodom - from the ashes,sin of anngels,,' 05,english
1612,3105,9,ramon muntaner - perque un dia torni la canco de sinera,,canco de carrer,75,catalan
5918,11373,7,renaud '' papillon '' paravel - comme un loser,,ecris ca quelque part,11,french
5653,10861,4,004 - world wide,"balance & dae one feat . rapper big pooh , chaundon & dj jbroski",b - dae ( 2012 ),null,eng .
9884,19158,38,"blues in the night , part 1 & 2 - jukebox hits ( 1935 - 1947 )",jimmie lunceford,,' 04,english
4306,8329,1,pelo meu caminho,amado batista,escuta ...,1997,portuguese
756,1438,7,carlo martello - 25 - 60 - 38 breve saggio sulla canzone italiana,folkabbestia,,' 06,italian
7529,14555,51,015 - sailing ships ( live ),whitesnake,30th anniversary collection ( 2008 ),null,eng .
8805,17109,013,the sun and the rain ( now that ' s what i call music ),madness,now that ' s what i call music,2009,
2058,3974,5,sol invictus - there did three knights come from the west,,the devil ' s steed,05,english
6219,11942,3,the end - please,benevolent,,,english
1319,2529,9,splinters - a night in the arms of venus,cherry choke,,' 11,english
9068,17584,9,009 - speks,ainars karps,kosmiska apzina ( 1999 ),null,lat .
4781,9241,1,001 - dinamita,yambu,yambu ( 1975 ),null,eng .
5950,11437,3,orphan hate - hidden faces,,attitude & consequences,12,english
9466,18359,011,that ' s what love can do,valerie smith,that ' s what love can do,2005,
3156,6062,13,oh yeah - greatest hits,daft - punk,,,english
