id,number,title,artist,album,year,language
16172,13,das kaltere herz,charnell feat. legz,ubernahme,2004,german
8328,2,002-memento da opera poelica,milva,liberta (1976),null,ita.
9600,6,arrebato - rock transgresivo,extremoduro,,'89,spanish
2903,11,la musgana - pasacalles de ciudad rodrigo,,el diablo cojuelo,92,spanish
15482,014,"remember we (2009-10-24: dj spinbad live in japan: club asia, tokyo, japan)",da bush babees,"2009-10-24: dj spinbad live in japan: club asia, tokyo, japan",2009,
13560,4,une femme - les plus belles chansons,charlesdumont,,,french
5425,5,there's no going back - living well is the best revenge,midtown,,'02,english
4098,2,jaywalking (souldrop remix),samsaya,jaywalking (remixes),,english
17489,4,traumland,heintje,ich sing' ein lied fur dich,1969,german
12937,2,la milonga perdida,atahualpa yupanqui,"testimonio, vol. 1: vivo en alemania",,
5757,007,fiesta (love child of the century),clazziquai project,love child of the century,2007,
3049,13,get it started,j. boogie's dubtronic science,j. boogie's dubtronic science,2003,english
9539,33,thomas garrad-cole & paul reeves - fresh tsart (30 seconds),,here and now,10,english
14880,1,melting pot - 70's funk 'n' soul classics,booker t. & the mg's,,,english
9902,14,peter hammill - summer song in the autumn (previously unreleased demo),,fool's mate,05,english
3337,8,008-i ain't goin' nowhere,martina mcbride,emotion (unknown),null,eng.
7306,8,008-ancient mysteries,brakes,touchdown (2009),null,eng.
15379,11,"dychaj, dychaj (karaoke tundra remix)",hex,ty a ja remixed,2011,slovak
5796,035,one and only (a) :30 (pop and urban),rob bagshaw & nigel thompson,pop and urban,,
11528,007,that lovely smile (light of love),e.r.r.a.,light of love,2004,
14965,1,blurred (pianoman original edit),pianoman,96,96,english
16640,b2,sceptical struggle,brain damage,brain damage vs. general dub,2003,english
16427,1,storm of pagan skies - under the mighty oath,hammer horde,,'09,english
17897,23,[untitled] - mikama isaro mada,arkha sva,,'08,english
17129,008,i love you (besutoserekushiyon'92),deng li jun,besutoserekushiyon'92,1992,
14884,20,antligen pa vag - absolute music 40,hakan hellstrom,,'02,[multiple languages]
630,7,007-for us or against us,dying fetus,destroy the opposition (2000),null,eng.
16327,004,festival-of-the-damned-(ep),blood and sunshine,ep,,
17524,5,gotik,jason bralli,na balada 5,,englsih
18420,6,not sorry - captives,hype theory,,,english
6968,3,out there - no disco future,melchior productions,,'07,englpish
685,1,001-en mi barrio,yaco,welcome to paradise (unknown),null,spa.
4664,029,lo nuestro termino (balada) (historia musical romantica),grupo bryndis,historia musical romantica,,
7159,1,"sonata #1 in sol minor, bwv 1001 - adagio",johann sebastian bach,die sonaten und partiten fur violine solo (dmitry sitkovetsky) [cd1.2] (1985),null,ger.
18605,4,eu quro mais,david m. quinlan,eu quero mais,,portuguese
8219,13,tamara - over and over,,tony monaco presents: partymania dance hits,02,enrglish
9284,016,virtual drumality (crazy drums/crazy drummer),bobby graham,crazy drums/crazy drummer,2000,
9552,12,key to the highway - from ripley to chicago,little walter,,'93,english
145,008,liquor store blues (doo-wops & hooligans),bruno mars feat. damian marley,doo-wops & hooligans,2011,
4689,13,013-watch what happens,physics,upstairs at larry's (lawrence welk uncorked) (2004),null,en.
3862,008,fingers (then comes silence ii),then comes silence,thenc omes silence ii,2013,
15132,5,the strenuous life (rag-time two-step),scott joplin,"the easy winners ((feat. violin: itzhak perlman, piano: andre previn)",1975,english
17512,3,003-pollex,proto-kaw,forth (2011),null,eng.
