cluster,id,title,manufacturer,price,__source
1561,1728,filemaker pro 8.5 5-user pack,,1149,google
1207,255,diskeeper 2007 pro premier 5-lic pack,diskeeper corporation,736.66,amazon
2231,2889,emc securid appl mnt - ent/ std 17mo per u 2k5-25k - app0025000es17,,16,google
2108,2708,continuous checks for peachtree(r) complete iii for dos v. 5.0-10.0,,91.59,google
2019,2617,laser payroll checks,,106.29,google
1676,2029,tri synergy inc i love kittens,,16.01,google
1524,1616,paul mehling django reinhardt homespun learn to play django-style gypsy jazz guitar - dvd one - rhythm,,22.13,google
1461,1479,17911 window washer - license and media - 1 user - cd - win,,21.41,google
2833,3888,antivirus 2007 win uk - ca - av2007dgbp01e,,13.1 gbp,google
1235,301,broderbund printmaster platinum 16.0,encore software,39.99,amazon
1227,293,treasure galaxy 5-user lab pack for mac,learning company,149.95,amazon
1488,1511,fifth dimension shannon grama yamaha the 5th dimension - greatest hits on earth - smart pianosoft,,14.86,google
2000,2596,peachtree(r) complete iii,,199.99,google
2057,2655,three-to-a-page itemized invoice checks,,65.19,google
3174,4456,microsoft(r) windows vista(tm) home basic,,99.99,google
1213,263,symantec mail security for smtp 5.0 smb av cd 5u gov,symantec,0,amazon
1919,2514,adobe photoshop cs3 extended - complete package - 1 user - academic - cd - windows,,279,google
2823,3863,iolo technologies ds3e25,iolo technologies,336.3,google
2007,2605,wincleaner one-click cleanup version 10,,24.9,google
2944,4095,more about software requirements: thorny issues and practical advice,,17.99,google
2244,2912,hp proliant essentials server migration pack - license,,1837.2,google
1131,142,ca brightstor arcserve backup r11.1 for netware tape library option - service pack,computer associates,0,amazon
1758,2202,individual software professor teaches excel and word,,42.99,google
2836,3894,emc securid appl mnt - ent/ std 5mo per u 30005-40k - app0040000es5,,13,google
2498,3248,xbox games: sega 64031,,12,google
2243,2909,microsoft ov l/sa win comp clst ed 1yr/acqy3 add prd - 73l-00098,,369,google
1741,2152,thomson delmar learning book and cd-rom: cdrom: exploring photoshop photoshop software,,42.95,google
1986,2582,cisco optical services module - multiplexor,,91240.95,google
2483,3229,thq 36123 drake & josh ds 785138361239,,28.75,google
1523,1610,rosemary clooney yamaha rosemary clooney - white christmas - smart pianosoft,,18.5,google
1484,1505,ovolab phlink [phlinkv3],,149,google
